Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Marcão;BRA;Fluminense;MO (DE), PL (C);31/3/2027;1/1/2025;-;-;-;-;20;MO (DE), PL (C);Pé Preferido Desconhecido;Brasil;1,79 m;;13/1/2005;MO (D);Acima da Média;;-;;;2000525288;-;-;-;10-19;-;-;-;-;-;11-17;9-16;4-11;10-19;-;-;-;9-17;-;-;-;6-13;11-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Marcão;BRA;Vasco da Gama;GR;31/1/2027;29/12/2025;7;5;8;3;19;GR;Pé Direito;Brasil;1,86 m;;19/7/2006;GR;Média;;Atlético Mineiro;;;2000323663;3;1;3;8;2;3;2;1;3;4;2;3;2;2;5;1;11;15;9;5;10;9;5;4;10;5;3;4;3;19;12;11;5;7;14;12;11;8;11;9;9
;Marcelinho;BRA;RB Bragantino;MO (DE), PL (C);31/5/2028;29/12/2025;-;-;-;-;21;MO (DE), PL (C);Pé Preferido Desconhecido;Brasil;1,78 m;São Paulo;16/8/2004;MO (E);Alta;;Ponte Preta;;;2000125585;-;-;-;8-16;-;-;-;-;-;9-14;9-15;5-11;7-15;-;-;-;8-14;-;-;-;6-12;10-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Marcelinho;BRA;Remo;D/DA/MO (D);31/12/2027;29/12/2025;8-12;8-12;1-3;1-4;27;D/DA/MO (D);Somente Pé Direito;Brasil;1,74 m;;20/7/1998;MO (D);Média;;Chapecoense;;;19394777;8-12;6-10;3-7;6-10;5-11;3-9;8-12;4-8;5-9;6-12;9-13;12-16;8-12;5-11;4-10;11-15;12-16;9-13;5-11;6-10;13-17;10-14;10-14;7-11;5-9;8-12;13-17;9-13;8-14;7-13;7-11;7-13;6-12;9-13;1-4;1-5;1-5;1-6;1-2;1-3;1-5
;Marcelo;BRA;Cruzeiro;GR;31/12/2027;21/5/2024;-;-;4-13;2-9;19;GR;Pé Preferido Desconhecido;Brasil;1,87 m;;12/2/2006;GR;Acima da Média;;-;;;2000272658;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10-19;6-12;5-11;-;6-14;-;3-12
;Marcelo Lomba;BRA;Palmeiras;GR;31/12/2026;29/12/2025;10-16;12-16;6-12;12-16;39;GR;Pé Direito;Brasil;1,89 m;Rio de Janeiro;18/12/1986;GR;Abaixo da Média;;SC Internacional;;;315180;4-8;1-5;4-8;6-10;1-4;2-6;1-3;6-12;1-6;8-12;1-4;1-5;1-3;1-4;13-17;8-12;7-13;11-15;13-17;9-15;11-15;6-10;7-11;6-12;9-15;10-16;1-4;11-15;2-6;12-16;7-11;9-13;10-14;10-14;9-13;9-15;11-15;12-16;11-15;12-16;12-18
;Marcelo Pitaluga;BRA;Fluminense;GR;31/12/2028;9/1/2025;8-12;4-8;10-14;7-13;23;GR;Somente Pé Direito;Brasil;1,91 m;Rio de Janeiro;20/12/2002;GR;Média;;Liverpool;Alemanha;;19376885;9-13;-;-;-;-;-;-;-;-;4-10;-;-;-;-;5-11;6-10;10-14;8-12;10-16;7-11;14-18;8-12;8-12;-;11-15;6-10;1-5;1-3;-;9-15;11-15;9-15;7-13;10-14;11-15;12-16;8-12;10-16;10-14;7-13;10-14
;Marcelo Rangel;BRA;Remo;GR;31/12/2026;29/12/2025;11-15;9-13;8-12;8-14;37;GR;Somente Pé Direito;Brasil;1,86 m;;17/5/1988;GR;Abaixo da Média;;Goiás;;;19131168;8-12;1-3;5-9;5-9;1-5;1-5;1-3;5-9;4-8;6-12;1-5;2-6;1-3;2-8;9-15;10-14;7-11;6-10;10-16;7-11;12-16;6-10;10-14;5-9;10-14;10-14;11-15;2-6;2-8;8-14;10-14;9-15;8-14;12-16;6-10;12-16;11-15;13-19;9-13;6-12;12-16
;Marcinho;BRA;Chapecoense;MO (DEC);30/11/2026;8/10/2025;7-11;6-12;3-7;1-4;30;MO (DEC);Pé Direito;Brasil;1,76 m;Goiás;8/6/1995;MO (E);Abaixo da Média;;Al-Riyadh;;;19230473;11-15;8-12;10-16;8-14;8-12;2-6;11-15;10-14;7-11;11-15;7-11;11-17;8-14;9-13;8-12;9-13;12-16;7-13;5-9;10-14;12-18;8-14;9-13;13-17;2-6;8-12;10-16;7-13;10-14;10-14;11-15;6-10;11-15;11-17;1-5;1;1-6;1-5;1-4;1-4;2-6
Prt;Marcos André;BRA;Athletico-PR;D (C);30/6/2026;30/12/2024;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,95 m;;23/3/2006;D (C);Alta;;Resende;;;2000383255;-;11-18;-;-;10-16;-;-;10-17;-;5-11;-;-;-;-;9-15;-;-;-;10-16;-;-;-;-;-;4-11;-;-;-;-;1-5;-;-;-;-;-;-;-;-;-;-;-
;Marcos Antonio;BRA;São Paulo;MD, M/MO (C);31/12/2030;29/12/2025;5-9;6-12;1-5;1-3;25;MD, M/MO (C);Pé Direito;Brasil;1,70 m;Bahia;13/6/2000;M (C);Acima da Média;;SS Lazio;;;19337942;14-18;11-15;10-16;12-18;9-13;2-6;9-13;4-8;4-8;12-16;6-10;11-17;6-12;6-10;5-9;10-14;15-19;8-14;4-8;8-12;13-19;9-15;14-18;16-20;9-13;14-18;10-16;2-8;12-16;11-15;14-18;11-15;10-14;14-20;1-3;1;1-6;1-5;1-3;1-3;1-5
;Marcos Cabrobó;BRA;Vitória;MO (DE);31/12/2026;1/5/2024;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;Brasil;1,64 m;Pernambuco;29/1/2007;MO (E);Acima da Média;;-;;;2000335720;-;-;-;1-8;-;-;-;-;-;6-13;11-17;9-15;4-12;-;-;-;5-14;-;-;-;8-14;8-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Marcos Paulo;BRA;Fluminense;MO (C);31/12/2026;19/1/2024;-;-;-;-;18;MO (C);Pé Preferido Desconhecido;Brasil;1,78 m;;19/12/2007;MO (C);Acima da Média;;-;;;2000521845;9-15;-;-;11-20;-;-;4-10;-;-;11-17;8-15;-;-;-;-;-;-;-;-;-;-;-;-;8-16;-;-;-;-;6-15;-;-;-;5-11;-;-;-;-;-;-;-;-
;Marcos Rocha;BRA;Grêmio;D/DA (D);31/12/2026;19/8/2025;9-13;9-13;1-5;1-3;37;D/DA (D);Pé Direito;Brasil;1,76 m;Minas Gerais;11/12/1988;D (D);Acima da Média;;Palmeiras;;;19014340;12-16;13-17;10-14;10-14;10-16;12-18;8-12;5-9;7-11;10-16;7-11;13-17;10-14;10-16;4-10;10-14;9-13;12-16;5-11;10-14;12-16;7-11;10-14;12-16;9-13;11-15;13-17;11-15;11-17;11-17;10-14;10-16;8-14;12-16;1-5;1-4;3-7;1-5;1-3;1-5;1-4
;Marcos Victor;BRA;EC Bahia;D (C);31/12/2027;10/1/2023;11-17;10-14;1-4;1-3;24;D (C);Somente Pé Direito;Brasil;1,84 m;Ceará;26/12/2001;D (C);Acima da Média;;Ceará;;;2000223472;10-14;10-14;3-9;9-13;11-15;3-7;8-12;10-14;5-11;8-12;6-12;5-11;5-9;4-8;12-16;15-19;9-13;12-16;11-15;9-15;8-14;10-14;14-18;5-9;11-17;10-14;6-12;6-10;7-11;12-16;12-16;11-15;10-14;8-14;3-7;1-5;1-3;1-4;1-3;1-4;1-2
;Marcos Vinicius;BRA;Vitória;MO (DE);31/12/2027;1/6/2025;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;Brasil;1,79 m;;16/3/2007;MO (D);Abaixo da Média;;-;;;2000501196;-;-;-;9-18;-;-;-;-;-;11-17;8-15;4-11;8-17;-;-;-;8-16;-;-;-;5-12;10-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Marcos Vinícius;BRA;Chapecoense;D/DA (D);31/12/2026;29/12/2025;11-15;9-13;1-5;1-3;28;D/DA (D);Somente Pé Direito;Brasil;1,76 m;São Paulo;26/3/1997;D (D);Média;;Avaí;;;19299377;10-14;9-13;5-9;8-12;8-14;7-13;5-9;6-10;4-8;7-13;6-10;11-15;8-12;9-15;7-13;11-15;12-16;8-12;6-12;11-15;13-17;9-13;10-14;10-14;8-12;11-15;12-16;2-6;9-15;3-9;8-12;9-15;6-12;12-16;1-4;1-4;1-5;1-7;1-2;1-4;1-4
;Denis Marfo;GHA;SC Internacional;MD, M (C);31/12/2026;1/1/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Gana;1,79 m;Greater Accra Region;28/1/2006;M (C);Alta;MSK Zilina Africa;-;;S-20;2000523420;-;8-16;-;11-20;-;-;6-12;-;-;11-17;-;-;-;-;9-15;-;-;-;-;-;-;-;6-12;6-14;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Marinho;BRA;Vitória;MO (DE);31/12/2026;1/7/2025;15-19;13-19;1-3;1-4;35;MO (DE);Somente Pé Esquerdo;Brasil;1,69 m;Alagoas;29/5/1990;MO (D);Média;;Vitória;;;19060670;12-16;6-10;10-14;11-17;4-10;1-5;12-16;3-7;13-17;12-16;13-17;12-16;11-17;12-18;10-14;11-15;12-16;13-19;1-7;15-19;11-15;12-18;10-14;11-15;5-9;11-15;8-12;7-13;11-17;11-15;9-13;8-14;10-14;8-12;1-3;3-7;1-2;1-4;1-6;1-5;1-4
;Marllon;BRA;Remo;D (C);31/12/2027;1/7/2025;12-16;9-13;1-3;1-4;33;D (C);Pé Direito;Brasil;1,84 m;Rio de Janeiro;16/4/1992;D (C);Baixo;;Ceará;;;19138505;11-15;13-17;7-11;11-15;12-18;1-7;3-7;10-14;1-5;7-13;7-11;7-11;1-5;3-9;9-15;11-15;9-13;9-13;11-17;9-13;11-15;8-12;12-16;5-9;12-16;11-15;4-8;8-12;3-9;6-12;12-16;11-17;8-14;13-17;1-4;1-4;3-7;2-8;1-3;1-5;1-5
;Marlon;BRA;Grêmio;D/DA (E);31/12/2028;29/12/2025;13-17;9-13;1-5;1-5;28;D/DA (E);Pé Esquerdo;Brasil;1,78 m;Paraná;20/5/1997;D (E);Média;;Cruzeiro;;;19266625;11-15;12-16;8-12;8-12;11-17;7-13;9-13;4-8;11-15;9-15;6-10;12-16;8-12;10-16;6-12;12-16;11-15;9-13;5-11;10-14;14-18;11-15;14-18;11-15;13-17;11-15;12-16;2-6;10-16;9-15;10-14;6-12;8-14;14-18;1-5;1-5;3-7;1-5;1-4;1-5;2-6
;Marlon Freitas;BRA;Palmeiras;MD, M (C);31/12/2028;29/12/2025;12-16;11-15;1-3;1-6;30;MD, M (C);Pé Direito;Brasil;1,85 m;Rio de Janeiro;27/3/1995;M (C);Abaixo da Média;;Botafogo;;;19202746;9-15;11-15;9-13;14-18;9-13;6-12;9-15;9-13;9-13;10-16;9-13;10-14;10-14;6-10;10-16;10-16;10-14;15-19;9-13;9-13;10-14;13-17;11-17;11-15;13-17;12-16;10-14;15-19;6-10;12-18;10-16;9-13;12-18;10-14;1-5;2-6;1-4;1;1-5;1-5;1-5
;Marquinhos;BRA;Botafogo;D (C);31/12/2026;1/7/2024;7-11;8;1-2;1-5;18;D (C);Somente Pé Direito;Brasil;1,86 m;;15/2/2007;D (C);Média;;Vasco da Gama;;;2000377980;7;10;1-5;10;10;5-9;7-10;10;6-10;8;1-4;1-5;1-3;1-4;8;9;10;9-12;11;7-11;8-12;10;8;6-9;12;11;3-7;9;3-6;15;13;6-9;8;10;2-5;1-5;1-2;1-4;2-5;1-3;1-2
;Marquinhos;BRA;RB Bragantino;D/MO (D);30/8/2028;1/9/2025;-;-;-;-;17;D/MO (D);Pé Preferido Desconhecido;Brasil;1,83 m;Alagoas;2/3/2008;MO (D);Abaixo da Média;;América FC;;;2000494604;-;-;-;6-12;-;-;-;-;-;11-19;1-11;10-16;6-12;-;-;-;9-19;-;-;-;10-16;7-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Marquinhos;BRA;Cruzeiro;MO (DE), PL (C);31/12/2028;24/6/2025;9-13;8-14;1-4;1-3;22;MO (DE), PL (C);Pé Esquerdo;Brasil;1,75 m;São Paulo;7/4/2003;MO (D);Acima da Média;;Arsenal;;;19393598;12-16;3-7;6-10;9-15;2-8;5-9;8-12;7-11;9-13;10-14;10-14;10-14;8-14;6-12;8-12;10-14;13-17;10-16;4-10;10-14;10-14;13-19;10-14;10-14;5-9;9-13;7-11;6-12;11-17;11-15;8-12;7-13;9-13;6-10;1-3;3-7;1-3;1-3;1-5;1-3;1-3
;Martinelli;BRA;Fluminense;MD, M (C);31/12/2030;29/12/2025;13-17;11-15;1-5;1-3;24;MD, M (C);Somente Pé Direito;Brasil;1,76 m;São Paulo;5/10/2001;MD;Média;;Grêmio Prudente;Itália;;19406135;12-18;9-15;9-13;12-16;13-17;7-11;9-15;7-13;10-14;10-14;9-13;11-15;8-12;12-16;8-12;12-18;10-16;11-15;8-12;12-16;12-16;11-15;12-18;9-15;12-16;11-17;11-15;10-14;15-19;10-14;12-18;14-18;10-14;12-16;1-5;1-4;2-6;2-6;1-4;1-2;1-3
;Emiliano Martínez;URU;Palmeiras;MD, M (C);31/12/2029;24/1/2025;10-14;11-15;1-4;1;26;MD, M (C);Pé Direito;Uruguai;1,85 m;Maldonado;17/8/1999;MD;Muito Alta;;FC Midtjylland;Itália;;78095755;10-16;10-16;4-8;10-14;14-18;2-6;7-13;7-13;4-8;8-12;6-10;10-14;5-9;7-11;9-13;12-18;8-14;9-13;12-16;12-16;10-14;10-14;12-18;7-13;12-16;11-17;9-13;7-11;12-16;3-7;10-16;14-18;9-13;11-15;1-5;2-6;1-3;2-6;1-5;1-4;1-3
;Emmanuel Martínez;ARG;Vitória;M (C), MO (DE);31/12/2027;29/12/2025;11-15;11-15;1-4;1-4;31;M (C), MO (DE);Pé Direito;Argentina;1,69 m;Buenos Aires;4/6/1994;M (C);Média;;Fortaleza;;;14110845;12-18;9-15;10-14;11-15;11-15;4-8;7-13;2-8;9-13;9-13;6-10;11-15;9-13;13-17;8-12;12-18;9-15;11-15;6-10;12-16;11-15;13-17;11-17;8-14;4-8;9-15;11-15;6-10;12-16;11-15;12-18;12-16;8-12;11-15;1-7;1-5;1-5;3-7;1-3;1;1-3
Les;Mateus Carvalho;BRA;Vasco da Gama;MD, M (C);31/12/2027;22/2/2024;14;14;2;2;23;MD, M (C);Pé Esquerdo;Brasil;1,84 m;Pará;18/3/2002;MD;Alta;;Náutico;;;2000128772;10;14;7;9;13;8;10;13;7;11;9;12;8;7;13;13;12;14;13;13;12;12;13;9;13;14;8;11;8;16;12;12;12;12;2;2;2;2;3;1;2
;Mateus Manso;BRA;São Paulo;M/MO (C), PL (C);31/1/2027;18/1/2025;-;-;-;-;21;M/MO (C), PL (C);Pé Preferido Desconhecido;Finlândia;1,81 m;Savónia do Norte;24/5/2004;MO (C);Acima da Média;;Inter de Limeira;Finlândia;;2000110784;10-15;-;-;5-11;-;-;1-6;-;-;7-15;8-14;-;-;-;-;-;-;-;-;-;-;-;-;7-12;-;-;-;-;10-18;-;-;-;5-13;-;-;-;-;-;-;-;-
;Mateus Xavier;BRA;Santos;MO (DE);31/7/2028;23/7/2025;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;Brasil;1,79 m;;29/6/2007;MO (E);Abaixo da Média;;-;;;2000272620;-;-;-;9-15;-;-;-;-;-;7-15;9-18;5-14;6-12;-;-;-;5-12;-;-;-;5-14;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Mateusinho;BRA;Vitória;D/DA (D);31/12/2028;29/12/2025;9-13;12-16;1-3;1-7;27;D/DA (D);Pé Direito;Brasil;1,75 m;Rio de Janeiro;7/10/1998;D (D);Abaixo da Média;;Cuiabá;;;2000212612;8-14;7-11;7-11;13-17;6-10;7-13;8-14;7-11;10-14;9-15;8-12;11-15;13-17;7-11;6-12;9-15;12-16;13-17;4-8;11-15;12-16;15-19;9-15;11-15;10-14;10-14;11-15;12-16;8-12;10-16;8-14;8-12;10-16;9-13;1-5;1-4;1-4;1-2;2-6;1-6;1-4
;Matheus Alexandre;BRA;Remo;D/DA (D);31/12/2028;20/1/2025;8-14;10-14;1-7;2-6;26;D/DA (D);Somente Pé Direito;Brasil;1,87 m;São Paulo;7/4/1999;D (D);Abaixo da Média;Sport Recife;Cuiabá;;;19386120;8-12;10-16;7-11;12-16;11-15;12-16;6-10;12-18;6-12;12-16;6-12;10-14;9-13;9-13;13-17;9-13;10-16;9-13;12-16;8-14;10-14;10-14;9-13;10-16;10-16;11-17;12-16;6-10;7-11;12-16;9-13;12-16;12-16;10-14;1-2;1-4;1-4;1-4;1-5;2-6;1-7
;Matheus Aurélio;BRA;Chapecoense;GR;31/12/2027;1/1/2025;10-14;4-8;8-14;5-9;26;GR;Somente Pé Direito;Brasil;1,84 m;São Paulo;23/6/1999;GR;Alta;Tombense;Hercílio Luz;;;19362988;4-10;-;-;-;-;-;-;-;-;2-6;-;-;-;-;8-12;6-12;4-10;11-15;13-17;5-9;11-15;5-9;5-11;-;10-14;6-12;1-3;8-12;-;11-15;10-16;10-14;3-7;7-11;12-18;11-15;12-16;9-13;11-15;5-9;8-14
;Matheus Bahia;BRA;SC Internacional;D/DA (E);31/12/2027;29/12/2025;12-16;11-17;1-3;1-5;26;D/DA (E);Somente Pé Esquerdo;Brasil;1,81 m;Bahia;11/8/1999;D (E);Abaixo da Média;;EC Bahia;;;19293344;9-13;10-14;6-10;9-15;8-14;8-12;7-11;8-12;8-12;9-13;9-13;6-10;10-16;7-13;10-14;12-16;12-16;10-16;6-12;11-15;8-12;12-18;11-15;8-12;13-17;11-15;7-11;8-14;9-15;11-15;9-13;6-12;9-13;7-11;1-5;2-6;1-3;1-5;1-6;1-3;2-6
;Matheus Belém;BRA;São Paulo;D (EC);31/12/2026;1/1/2024;10-14;11-15;-;-;22;D (EC);Pé Esquerdo;Brasil;1,83 m;São Paulo;13/3/2003;D (C);Média;;-;;;2000110786;5-11;10-14;-;9-13;8-12;6-12;1-7;10-14;6-10;7-13;-;7-11;-;5-9;9-15;8-14;10-14;13-17;8-12;10-14;9-13;12-16;8-14;7-11;10-14;10-14;7-11;9-13;3-7;2-8;6-12;6-10;8-14;9-13;-;-;-;-;-;-;-
;Matheus Bidu;BRA;Corinthians;D/DA/M (E);31/12/2027;12/1/2023;12-16;11-15;1-5;1-2;26;D/DA/M (E);Pé Esquerdo;Brasil;1,72 m;São Paulo;4/5/1999;D (E);Média;;Guarani FC;;;19388106;11-17;9-15;8-12;11-15;12-16;6-10;9-15;3-9;9-13;7-11;7-11;11-15;10-14;12-16;7-11;13-19;10-16;13-17;8-12;10-14;12-16;12-16;13-19;9-15;9-13;10-16;11-15;9-13;10-14;10-14;10-16;13-17;9-13;11-15;1-5;1-3;1-3;3-7;1-3;1-2;1-4
;Matheus Corrêa;BRA;Corinthians;GR;31/12/2028;29/12/2025;-;-;6-14;6-12;19;GR;Pé Preferido Desconhecido;Brasil;1,89 m;;31/1/2006;GR;Alta;;-;;;2000273911;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9-15;11-18;3-10;-;9-18;-;7-15
;Matheus Cunha;BRA;Cruzeiro;GR;31/12/2028;29/12/2025;6-10;1-7;10-14;10-14;24;GR;Pé Direito;Brasil;1,93 m;São Paulo;24/5/2001;GR;Acima da Média;;Flamengo;;;19347269;4-8;2-6;1-7;6-12;1-3;1-3;1-3;1-5;2-6;8-12;1-2;1-7;1-3;2-6;4-8;5-9;11-15;10-16;14-18;4-8;11-17;6-12;5-9;7-11;8-12;8-12;1-7;4-10;1-5;1-4;10-14;8-12;6-10;8-14;3-7;9-13;10-16;10-14;9-15;10-14;12-16
;Matheus Dias;BRA;Coritiba;PL (C);31/12/2027;1/9/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,76 m;;9/8/2007;PL (C);Média;;-;;;2000267816;-;-;-;5-14;-;-;-;5-13;-;11-17;13-20;-;-;-;6-12;-;9-17;-;1-7;-;-;11-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Matheus Fernandes;BRA;RB Bragantino;MD, M (C);31/12/2027;6/1/2024;12-16;11-15;1-3;1-6;27;MD, M (C);Pé Direito;Brasil;1,83 m;Rio de Janeiro;30/6/1998;M (C);Abaixo da Média;;Palmeiras;;;19250978;9-15;11-15;9-13;13-17;9-13;7-13;8-14;10-14;6-10;11-17;9-13;11-15;9-13;6-10;7-13;10-16;10-14;14-18;7-11;12-16;12-16;14-18;10-16;10-14;11-15;12-16;11-15;10-14;7-11;12-18;8-14;7-11;10-16;10-14;1-3;1-5;1-4;1-3;3-7;1-6;1-3
;Matheus Ferreira;BRA;São Paulo;MD, M (C);31/1/2028;21/10/2025;13-16;12;1-4;2-5;19;MD, M (C);Pé Direito;Brasil;1,81 m;Rio de Janeiro;22/2/2006;MD;Acima da Média;;Vasco da Gama;;;2000218638;12;11;5-8;12;9-13;6-9;8;9;10-13;11;8;8-11;10-14;2-6;11;11;12;13;7;10-13;9-12;13;13;12;12-15;12;7-10;8;9;11;8-11;7-11;9-12;7-10;1-4;2-5;1-3;1-4;1-4;2-5;1-5
;Matheus Gomes;BRA;Palmeiras;D (D);31/12/2029;29/12/2025;-;-;-;-;16;D (D);Pé Preferido Desconhecido;Brasil;1,79 m;São Paulo;9/1/2009;D (D);Média;;-;;;2000485019;-;6-14;-;-;1-10;-;-;-;-;6-12;-;-;9-19;-;4-10;-;10-18;-;-;-;-;12-20;-;-;4-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Matheus Henrique;BRA;Cruzeiro;MD, M (C);30/6/2029;1/7/2024;14-18;14-20;1-5;1-5;28;MD, M (C);Pé Direito;Brasil;1,75 m;São Paulo;19/12/1997;MD;Média;;Sassuolo;;;19263862;13-17;10-14;4-8;13-19;6-12;5-9;9-13;6-10;7-11;12-16;11-15;10-14;9-15;2-8;8-12;11-15;12-16;12-18;4-10;13-17;10-14;11-17;12-16;12-16;14-18;13-17;10-14;8-14;9-15;13-17;12-16;8-14;12-16;10-14;1-4;1-5;1-2;1-4;1-5;1-3;1-3
;Matheus Lima;BRA;Botafogo;GR;31/3/2028;23/6/2025;-;-;10-16;10-19;18;GR;Pé Preferido Desconhecido;Brasil;1,84 m;;28/8/2007;GR;Abaixo da Média;;Flamengo (SP);;;2000377974;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3-12;8-14;3-11;-;14-20;-;10-16
Les;Matheus Martins;BRA;Botafogo;MO (DE);31/12/2028;31/7/2024;11-15;10-14;1-5;1-2;22;MO (DE);Pé Direito;Brasil;1,78 m;Mato Grosso do Sul;16/7/2003;MO (E);Alta;;Udinese;;;19400560;12-18;2-8;2-6;11-15;6-10;2-6;9-15;4-10;5-9;9-13;10-14;12-16;10-14;9-13;7-11;13-19;9-15;11-15;8-12;10-14;12-16;12-16;8-14;9-15;4-8;7-13;11-15;7-11;14-18;5-9;10-16;11-15;7-11;8-12;1-7;1-3;1-5;3-7;1-4;1-2;1-3
;Matheus Melo;BRA;SC Internacional;D (C);31/12/2027;9/6/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,88 m;Bahia;13/3/2007;D (C);Alta;Coimbra;-;;;2000456709;-;11-17;-;-;6-13;-;-;8-14;-;1-10;-;-;-;-;7-16;-;-;-;3-10;-;-;-;-;-;9-15;-;-;-;-;1-8;-;-;-;-;-;-;-;-;-;-;-
;Matheus Menezes;BRA;São Paulo;PL (C);31/1/2029;29/12/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,86 m;Rio Grande do Sul;15/8/2007;PL (C);Alta;;São José (RS);;;2000449100;-;-;-;1-9;-;-;-;13-20;-;2-8;6-13;-;-;-;5-11;-;13-20;-;9-15;-;-;6-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Matheus Navarro;BRA;Athletico-PR;D/DA (E);31/5/2028;1/6/2025;-;-;-;-;17;D/DA (E);Pé Preferido Desconhecido;Brasil;1,67 m;;30/9/2008;D (E);Acima da Média;;-;;;2000454294;-;1-7;-;-;5-13;-;-;-;-;2-10;-;-;5-13;-;1-5;-;4-14;-;-;-;-;8-16;-;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Matheus Pedro;BRA;Fluminense;MO (C), PL (C);31/12/2026;30/12/2024;-;-;-;-;19;MO (C), PL (C);Pé Preferido Desconhecido;Brasil;1,59 m;Rio de Janeiro;17/3/2006;MO (C);Média;;-;;;2000209008;3-12;-;-;10-17;-;-;3-12;-;-;8-17;6-12;-;-;-;-;-;-;-;-;-;-;-;-;8-14;-;-;-;-;5-12;-;-;-;5-14;-;-;-;-;-;-;-;-
;Matheus Pereira;BRA;Corinthians;MD, M/MO (C);31/12/2027;1/7/2025;11-15;12-16;1-4;1-6;27;MD, M/MO (C);Pé Esquerdo;Brasil;1,82 m;Rio de Janeiro;25/2/1998;MD;Abaixo da Média;Fortaleza;Eibar;;;19237947;11-17;6-10;12-16;15-19;2-6;7-13;7-13;8-12;11-15;12-18;8-12;11-15;11-15;9-13;8-14;11-17;9-13;13-17;4-8;11-15;9-13;11-15;9-15;13-17;8-12;12-16;10-14;9-13;10-14;10-16;10-16;8-12;13-19;10-14;1-3;1-3;1-3;1-3;1-5;1-5;1-3
;Matheus Pereira;BRA;Cruzeiro;M/MO (DEC);31/12/2028;29/12/2025;9-13;7-13;1-3;1-5;29;M/MO (DEC);Pé Esquerdo;Brasil;1,75 m;Minas Gerais;5/5/1996;MO (D);Abaixo da Média;;Al-Hilal;Portugal;;55070289;14-18;6-10;7-11;12-18;2-8;4-8;11-15;4-8;13-17;13-17;9-13;12-16;13-19;10-16;5-9;10-14;12-16;12-18;3-9;11-15;11-15;13-19;12-16;14-18;6-10;12-16;10-14;4-10;13-19;12-16;11-15;6-12;11-15;9-13;1-3;3-7;1-2;1-3;1-6;1-5;2-6
;Matheus Reis;MEX;Fluminense;MO (DE);31/12/2030;29/12/2025;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;México;1,80 m;Distrito Federal;2/4/2007;MO (E);Alta;;-;Brasil;S-23;2000264997;-;-;-;6-12;-;-;-;-;-;12-19;3-12;11-17;5-11;-;-;-;11-20;-;-;-;10-16;9-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
